,start_station_name,end_station_name,start_lat,start_lng,end_lat,end_lng,value
2099569,E 39 St & 2 Ave,2 Ave & E 29 St,40.74803319428767,-73.973827958107,40.74172351097472,-73.97809267044067,1397
1450800,Central Park West & W 72 St,Grand Army Plaza & Central Park S,40.77579376683666,-73.9762057363987,40.7643971,-73.97371465,1397
2056600,E 30 St & Park Ave S,E 40 St & Park Ave,40.74444921,-73.98303529,40.750756,-73.978326,1396
1188314,Broadway & W 36 St,Broadway & W 36 St,40.75097711,-73.98765428,40.75097711,-73.98765428,1396
742870,9 Ave & W 22 St,8 Ave & W 16 St,40.7454973,-74.00197139,40.740983,-74.001702,1394
4206406,W 111 St & 5 Ave,W 111 St & 5 Ave,40.79752078124756,-73.9489397406578,40.79752078124756,-73.9489397406578,1389
2458678,E 88 St & Park Ave,E 88 St & Park Ave,40.781410700190015,-73.95595908164978,40.781410700190015,-73.95595908164978,1389
3484629,N 11 St & Kent Ave,Kent Ave & N 7 St,40.72248188638219,-73.95921930670738,40.72036775298455,-73.96165072917938,1389
2464193,E 89 St & 3 Ave,E 89 St & 3 Ave,40.7806284,-73.9521667,40.7806284,-73.9521667,1388
4506325,W 36 St & 9 Ave,W 36 St & 9 Ave,40.75462324029105,-73.99516761302948,40.75462324029105,-73.99516761302948,1388
14239,1 Ave & E 18 St,E 33 St & 1 Ave,40.73381219196632,-73.98054420948029,40.74322681432173,-73.97449783980846,1388
4618432,W 46 St & 11 Ave,W 44 St & 11 Ave,40.76341379,-73.99667444,40.762009,-73.996975,1387
4737468,W 56 St & 8 Ave,W 56 St & 8 Ave,40.765959181657976,-73.98313522338867,40.765959181657976,-73.98313522338867,1387
871887,Amsterdam Ave & W 73 St,W 74 St & Columbus Ave,40.77966809007312,-73.98093044757842,40.7785669,-73.97754961,1387
3834280,Sands St & Jay St,Sands St & Jay St,40.700119,-73.9862,40.700119,-73.9862,1386
3465812,Murray St & Greenwich St,Murray St & Greenwich St,40.71485150526252,-74.01122331619263,40.71485150526252,-74.01122331619263,1386
2417511,E 81 St & York Ave,E 81 St & York Ave,40.7728384,-73.94989233,40.7728384,-73.94989233,1385
2073914,E 33 St & 1 Ave,2 Ave & E 29 St,40.74322681432173,-73.97449783980846,40.74172351097472,-73.97809267044067,1385
354680,31 St & Newtown Ave,18 St & 27 Ave,40.7675487799971,-73.9209334552288,40.772768286288304,-73.92743647098541,1383
1785122,E 106 St & Madison Ave,E 106 St & Madison Ave,40.7934337,-73.94945003,40.7934337,-73.94945003,1383
4381429,W 22 St & 8 Ave,8 Ave & W 31 St,40.74475148,-73.99915362,40.7505853470215,-73.9946848154068,1383
1265059,Broadway & W 58 St,West End Ave & W 60 St,40.76695317,-73.98169333,40.77237,-73.99005,1383
4411450,W 26 St & 8 Ave,8 Ave & W 31 St,40.74734825,-73.99723551,40.7505853470215,-73.9946848154068,1383
1237949,Broadway & W 53 St,W 54 St & 11 Ave,40.76344058,-73.98268129,40.768333,-73.992573,1382
748357,9 Ave & W 22 St,W 12 St & Hudson St,40.7454973,-74.00197139,40.73752993301071,-74.00558933615685,1381
3550666,North Moore St & Greenwich St,West St & Liberty St,40.72019521437465,-74.0103006362915,40.711444,-74.014847,1381
4474925,W 34 St & 11 Ave,12 Ave & W 40 St,40.75594159,-74.0021163,40.76087502,-74.00277668,1380
3088153,LaGuardia Pl & W 3 St,University Pl & E 14 St,40.72917025,-73.99810231,40.734814,-73.992085,1379
918525,Ave A & E 11 St,E 13 St & Avenue A,40.72854745023944,-73.98175925016403,40.72966729392978,-73.98067966103554,1379
884662,Amsterdam Ave & W 82 St,Amsterdam Ave & W 82 St,40.78524672,-73.97667321,40.78524672,-73.97667321,1379
37481,1 Ave & E 6 St,E 14 St & 1 Ave,40.72633085971696,-73.98616880178452,40.73139303364151,-73.98286700248718,1378
4695821,W 54 St & 11 Ave,Broadway & W 53 St,40.768333,-73.992573,40.76344058,-73.98268129,1377
514721,5 Ave & E 72 St,Grand Army Plaza & Central Park S,40.77282817,-73.96685276,40.7643971,-73.97371465,1377
4377880,W 22 St & 10 Ave,W 20 St & 7 Ave,40.74691959,-74.00451887,40.74238787,-73.99726235,1375
5073948,Willoughby St & Fleet St,Clinton Ave & Myrtle Ave,40.69196566,-73.9813018,40.693261,-73.968896,1375
2032494,E 26 St & 3 Ave,E 26 St & 3 Ave,40.74069317733043,-73.98160636425018,40.74069317733043,-73.98160636425018,1374
5054421,Willoughby Ave & Hall St,DeKalb Ave & Hudson Ave,40.69196035,-73.96536851,40.689888,-73.981013,1374
4723192,W 56 St & 10 Ave,W 56 St & 10 Ave,40.768254,-73.988639,40.768254,-73.988639,1372
1767143,E 102 St & 1 Ave,E 102 St & 1 Ave,40.7869946,-73.94164802,40.7869946,-73.94164802,1371
1706307,Division St & Bowery,Division St & Bowery,40.714193,-73.996732,40.714193,-73.996732,1371
4632334,W 47 St & 6 Ave,W 47 St & 6 Ave,40.758397,-73.98255,40.758397,-73.98255,1368
134114,11 Ave & W 41 St,W 42 St & 6 Ave,40.76030096,-73.99884222,40.75492,-73.98455,1367
